Date,cases
22.01.2020,0
23.01.2020,0
24.01.2020,0
25.01.2020,0
26.01.2020,0
27.01.2020,0
28.01.2020,0
29.01.2020,0
30.01.2020,0
31.01.2020,0
01.02.2020,0
02.02.2020,0
03.02.2020,0
04.02.2020,0
05.02.2020,0
06.02.2020,0
07.02.2020,0
08.02.2020,0
09.02.2020,0
10.02.2020,0
11.02.2020,0
12.02.2020,0
13.02.2020,0
14.02.2020,0
15.02.2020,0
16.02.2020,0
17.02.2020,0
18.02.2020,0
19.02.2020,0
20.02.2020,0
21.02.2020,0
22.02.2020,0
23.02.2020,0
24.02.2020,0
25.02.2020,0
26.02.2020,0
27.02.2020,0
28.02.2020,0
29.02.2020,0
01.03.2020,0
02.03.2020,0
03.03.2020,0
04.03.2020,0
05.03.2020,0
06.03.2020,0
07.03.2020,0
08.03.2020,0
09.03.2020,0
10.03.2020,0
11.03.2020,0
12.03.2020,0
13.03.2020,0
14.03.2020,0
15.03.2020,0
16.03.2020,0
17.03.2020,0
18.03.2020,0
19.03.2020,1
20.03.2020,0
21.03.2020,0
22.03.2020,0
23.03.2020,0
24.03.2020,0
25.03.2020,2
26.03.2020,0
27.03.2020,1
28.03.2020,0
29.03.2020,4
30.03.2020,1
31.03.2020,8
01.04.2020,7
02.04.2020,6
03.04.2020,4
04.04.2020,9
05.04.2020,2
06.04.2020,2
07.04.2020,11
08.04.2020,5
09.04.2020,13
10.04.2020,18
11.04.2020,12
12.04.2020,24
13.04.2020,18
14.04.2020,22
15.04.2020,28
16.04.2020,34
17.04.2020,41
18.04.2020,40
19.04.2020,48
20.04.2020,44
21.04.2020,51
22.04.2020,57
23.04.2020,42
24.04.2020,60
25.04.2020,66
26.04.2020,66
27.04.2020,47
28.04.2020,73
29.04.2020,105
30.04.2020,101
01.05.2020,96
02.05.2020,53
03.05.2020,58
04.05.2020,76
05.05.2020,95
06.05.2020,86
07.05.2020,88
08.05.2020,98
09.05.2020,104
10.05.2020,88
11.05.2020,94
12.05.2020,107
13.05.2020,96
14.05.2020,93
15.05.2020,113
16.05.2020,119
17.05.2020,94
18.05.2020,91
19.05.2020,115
20.05.2020,135
21.05.2020,127
22.05.2020,150
23.05.2020,139
24.05.2020,153
25.05.2020,92
26.05.2020,174
27.05.2020,161
28.05.2020,174
29.05.2020,232
30.05.2020,181
31.05.2020,138
01.06.2020,156
02.06.2020,182
03.06.2020,177
04.06.2020,168
05.06.2020,144
06.06.2020,197
07.06.2020,134
08.06.2020,112
09.06.2020,171
10.06.2020,216
11.06.2020,172
12.06.2020,183
13.06.2020,114
14.06.2020,119
15.06.2020,143
16.06.2020,193
17.06.2020,194
18.06.2020,182
19.06.2020,181
20.06.2020,161
21.06.2020,109
22.06.2020,95
23.06.2020,153
24.06.2020,154
25.06.2020,91
26.06.2020,176
27.06.2020,188
28.06.2020,102
29.06.2020,92
30.06.2020,154
01.07.2020,215
02.07.2020,147
03.07.2020,176
04.07.2020,167
05.07.2020,134
06.07.2020,135
07.07.2020,198
08.07.2020,172
09.07.2020,176
10.07.2020,174
11.07.2020,188
12.07.2020,130
13.07.2020,104
14.07.2020,175
15.07.2020,156
16.07.2020,167
17.07.2020,186
18.07.2020,122
19.07.2020,95
20.07.2020,85
21.07.2020,153
22.07.2020,165
23.07.2020,147
24.07.2020,153
25.07.2020,146
26.07.2020,77
27.07.2020,85
28.07.2020,149
29.07.2020,167
30.07.2020,128
31.07.2020,161
01.08.2020,95
02.08.2020,70
03.08.2020,79
04.08.2020,144
05.08.2020,138
06.08.2020,114
07.08.2020,119
08.08.2020,129
09.08.2020,76
10.08.2020,70
11.08.2020,130
12.08.2020,128
13.08.2020,122
14.08.2020,114
15.08.2020,118
16.08.2020,68
17.08.2020,54
18.08.2020,129
19.08.2020,115
20.08.2020,107
21.08.2020,90
22.08.2020,120
23.08.2020,73
24.08.2020,65
25.08.2020,118
26.08.2020,114
27.08.2020,120
28.08.2020,108
29.08.2020,111
30.08.2020,68
31.08.2020,83
01.09.2020,122
02.09.2020,115
03.09.2020,114
04.09.2020,119
05.09.2020,109
06.09.2020,61
07.09.2020,50
08.09.2020,121
09.09.2020,141
10.09.2020,127
11.09.2020,102
12.09.2020,117
13.09.2020,91
14.09.2020,56
15.09.2020,150
16.09.2020,130
17.09.2020,143
18.09.2020,132
19.09.2020,142
20.09.2020,79
21.09.2020,71
22.09.2020,155
23.09.2020,145
24.09.2020,147
25.09.2020,106
26.09.2020,167
27.09.2020,99
28.09.2020,60
29.09.2020,157
30.09.2020,174
01.10.2020,166
02.10.2020,185
03.10.2020,172
04.10.2020,107
05.10.2020,115
06.10.2020,184
07.10.2020,196
08.10.2020,184
09.10.2020,198
10.10.2020,194
11.10.2020,140
12.10.2020,123
13.10.2020,240
14.10.2020,235
15.10.2020,281
16.10.2020,230
17.10.2020,277
18.10.2020,182
19.10.2020,166
20.10.2020,268
21.10.2020,313
22.10.2020,286
23.10.2020,281
24.10.2020,294
25.10.2020,228
26.10.2020,217
27.10.2020,317
28.10.2020,343
29.10.2020,359
30.10.2020,351
31.10.2020,325
01.11.2020,239
02.11.2020,238
03.11.2020,347
04.11.2020,385
05.11.2020,289
06.11.2020,369
07.11.2020,356
08.11.2020,282
09.11.2020,254
10.11.2020,353
11.11.2020,427
12.11.2020,429
13.11.2020,401
14.11.2020,380
15.11.2020,349
16.11.2020,299
17.11.2020,435
18.11.2020,449
19.11.2020,457
20.11.2020,455
21.11.2020,462
22.11.2020,396
23.11.2020,354
24.11.2020,483
25.11.2020,498
26.11.2020,515
27.11.2020,487
28.11.2020,501
