Date,Cases
22.01.2020,0
23.01.2020,0
24.01.2020,0
25.01.2020,0
26.01.2020,0
27.01.2020,0
28.01.2020,0
29.01.2020,0
30.01.2020,0
31.01.2020,2
01.02.2020,0
02.02.2020,0
03.02.2020,0
04.02.2020,0
05.02.2020,0
06.02.2020,0
07.02.2020,0
08.02.2020,0
09.02.2020,0
10.02.2020,0
11.02.2020,0
12.02.2020,0
13.02.2020,0
14.02.2020,0
15.02.2020,0
16.02.2020,0
17.02.2020,0
18.02.2020,0
19.02.2020,0
20.02.2020,0
21.02.2020,0
22.02.2020,0
23.02.2020,0
24.02.2020,0
25.02.2020,0
26.02.2020,0
27.02.2020,0
28.02.2020,0
29.02.2020,0
01.03.2020,0
02.03.2020,1
03.03.2020,0
04.03.2020,0
05.03.2020,1
06.03.2020,9
07.03.2020,0
08.03.2020,4
09.03.2020,0
10.03.2020,3
11.03.2020,0
12.03.2020,8
13.03.2020,17
14.03.2020,14
15.03.2020,4
16.03.2020,27
17.03.2020,24
18.03.2020,33
19.03.2020,52
20.03.2020,54
21.03.2020,53
22.03.2020,61
23.03.2020,71
24.03.2020,57
25.03.2020,163
26.03.2020,182
27.03.2020,196
28.03.2020,228
29.03.2020,270
30.03.2020,302
31.03.2020,501
01.04.2020,440
02.04.2020,771
03.04.2020,601
04.04.2020,582
05.04.2020,658
06.04.2020,954
07.04.2020,1154
08.04.2020,1175
09.04.2020,1459
10.04.2020,1786
11.04.2020,1667
12.04.2020,2186
13.04.2020,2558
14.04.2020,2774
15.04.2020,3388
16.04.2020,3448
17.04.2020,4070
18.04.2020,4785
19.04.2020,6060
20.04.2020,4268
21.04.2020,5642
22.04.2020,5236
23.04.2020,4774
24.04.2020,5849
25.04.2020,5966
26.04.2020,6361
27.04.2020,6198
28.04.2020,6411
29.04.2020,5841
30.04.2020,7099
01.05.2020,7933
02.05.2020,9623
03.05.2020,10633
04.05.2020,10581
05.05.2020,10102
06.05.2020,10559
07.05.2020,11231
08.05.2020,10699
09.05.2020,10817
10.05.2020,11012
11.05.2020,11656
12.05.2020,10899
13.05.2020,10028
14.05.2020,9974
15.05.2020,10598
16.05.2020,9200
17.05.2020,9709
18.05.2020,8926
19.05.2020,9263
20.05.2020,8764
21.05.2020,8849
22.05.2020,8894
23.05.2020,9434
24.05.2020,8599
25.05.2020,8946
26.05.2020,8915
27.05.2020,8338
28.05.2020,8371
29.05.2020,8572
30.05.2020,8952
31.05.2020,9268
01.06.2020,8485
02.06.2020,8858
03.06.2020,8529
04.06.2020,8823
05.06.2020,8718
06.06.2020,8846
07.06.2020,8971
08.06.2020,8970
09.06.2020,8587
10.06.2020,8393
11.06.2020,8777
12.06.2020,8961
13.06.2020,8697
14.06.2020,8809
15.06.2020,8217
16.06.2020,8241
17.06.2020,7824
18.06.2020,7772
19.06.2020,7971
20.06.2020,7870
21.06.2020,7717
22.06.2020,7586
23.06.2020,7413
24.06.2020,7165
25.06.2020,7105
26.06.2020,6788
27.06.2020,6843
28.06.2020,6784
29.06.2020,6683
30.06.2020,6683
01.07.2020,6550
02.07.2020,6752
03.07.2020,6710
04.07.2020,6623
05.07.2020,6719
06.07.2020,6569
07.07.2020,6363
08.07.2020,6534
09.07.2020,6491
10.07.2020,6623
11.07.2020,6586
12.07.2020,6587
13.07.2020,6511
14.07.2020,6240
15.07.2020,6410
16.07.2020,6415
17.07.2020,6389
18.07.2020,6214
19.07.2020,6096
20.07.2020,5901
21.07.2020,5828
22.07.2020,5850
23.07.2020,5830
24.07.2020,5779
25.07.2020,5833
26.07.2020,5741
27.07.2020,5607
28.07.2020,5380
29.07.2020,5449
30.07.2020,5484
31.07.2020,5468
01.08.2020,5429
02.08.2020,5387
03.08.2020,5364
04.08.2020,5121
05.08.2020,5186
06.08.2020,5239
07.08.2020,5191
08.08.2020,5185
09.08.2020,5155
10.08.2020,5081
11.08.2020,4892
12.08.2020,5054
13.08.2020,5017
14.08.2020,5016
15.08.2020,5030
16.08.2020,4911
17.08.2020,4839
18.08.2020,4718
19.08.2020,4790
20.08.2020,4767
21.08.2020,4838
22.08.2020,4860
23.08.2020,4797
24.08.2020,4688
25.08.2020,4639
26.08.2020,4642
27.08.2020,4675
28.08.2020,4758
29.08.2020,4843
30.08.2020,4897
31.08.2020,4932
01.09.2020,4670
02.09.2020,4893
03.09.2020,4958
04.09.2020,5064
05.09.2020,5144
06.09.2020,5097
07.09.2020,5106
08.09.2020,5020
09.09.2020,5172
10.09.2020,5310
11.09.2020,5421
12.09.2020,5406
13.09.2020,5361
14.09.2020,5414
15.09.2020,5435
16.09.2020,5612
17.09.2020,5667
18.09.2020,5803
19.09.2020,5960
20.09.2020,6043
21.09.2020,6090
22.09.2020,6109
23.09.2020,6330
24.09.2020,6489
25.09.2020,7112
26.09.2020,7421
27.09.2020,7764
28.09.2020,8026
29.09.2020,8129
30.09.2020,8371
01.10.2020,8835
02.10.2020,9294
03.10.2020,9735
04.10.2020,10376
05.10.2020,10757
06.10.2020,11481
07.10.2020,10981
08.10.2020,11345
09.10.2020,11969
10.10.2020,12673
11.10.2020,13442
12.10.2020,13406
13.10.2020,13690
14.10.2020,14041
15.10.2020,13556
16.10.2020,14937
17.10.2020,14703
18.10.2020,14804
19.10.2020,15843
20.10.2020,16108
21.10.2020,15444
22.10.2020,15704
23.10.2020,17077
24.10.2020,16260
25.10.2020,16392
26.10.2020,17148
27.10.2020,16342
28.10.2020,15886
29.10.2020,17418
30.10.2020,17987
31.10.2020,17834
01.11.2020,18381
02.11.2020,18017
03.11.2020,18431
04.11.2020,19483
05.11.2020,19116
