Date,Cases
12.03.2020,0
13.03.2020,0
14.03.2020,0
15.03.2020,0
16.03.2020,0
17.03.2020,0
18.03.2020,0
19.03.2020,0
20.03.2020,0
21.03.2020,0
22.03.2020,0
23.03.2020,0
24.03.2020,0
25.03.2020,0
26.03.2020,0
27.03.2020,0
28.03.2020,0
29.03.2020,0
30.03.2020,0
31.03.2020,0
01.04.2020,0
02.04.2020,0
03.04.2020,0
04.04.2020,0
05.04.2020,0
06.04.2020,0
07.04.2020,0
08.04.2020,0
09.04.2020,0
10.04.2020,0
11.04.2020,0
12.04.2020,0
13.04.2020,0
14.04.2020,0
15.04.2020,0
16.04.2020,0
17.04.2020,0
18.04.2020,0
19.04.2020,0
20.04.2020,0
21.04.2020,0
22.04.2020,0
23.04.2020,0
24.04.2020,0
25.04.2020,0
26.04.2020,0
27.04.2020,0
28.04.2020,0
29.04.2020,1
30.04.2020,0
01.05.2020,0
02.05.2020,1
03.05.2020,0
04.05.2020,1
05.05.2020,0
06.05.2020,0
07.05.2020,0
08.05.2020,0
09.05.2020,0
10.05.2020,1
11.05.2020,0
12.05.2020,0
13.05.2020,0
14.05.2020,1
15.05.2020,1
16.05.2020,0
17.05.2020,0
18.05.2020,0
19.05.2020,3
20.05.2020,1
21.05.2020,1
22.05.2020,0
23.05.2020,0
24.05.2020,1
25.05.2020,0
26.05.2020,1
27.05.2020,0
28.05.2020,1
29.05.2020,1
30.05.2020,1
31.05.2020,0
01.06.2020,2
02.06.2020,1
03.06.2020,1
04.06.2020,1
05.06.2020,2
06.06.2020,3
07.06.2020,2
08.06.2020,3
09.06.2020,2
10.06.2020,4
11.06.2020,0
12.06.2020,0
13.06.2020,3
14.06.2020,3
15.06.2020,4
16.06.2020,0
17.06.2020,0
18.06.2020,4
19.06.2020,9
20.06.2020,1
21.06.2020,0
22.06.2020,1
23.06.2020,8
24.06.2020,0
25.06.2020,0
26.06.2020,18
27.06.2020,0
28.06.2020,0
29.06.2020,0
30.06.2020,0
01.07.2020,0
02.07.2020,0
03.07.2020,0
04.07.2020,0
05.07.2020,0
06.07.2020,0
07.07.2020,0
08.07.2020,0
09.07.2020,0
10.07.2020,0
11.07.2020,0
12.07.2020,0
13.07.2020,0
14.07.2020,0
15.07.2020,0
16.07.2020,0
17.07.2020,0
18.07.2020,0
19.07.2020,0
20.07.2020,0
21.07.2020,0
22.07.2020,1
23.07.2020,0
24.07.2020,0
25.07.2020,1
26.07.2020,0
27.07.2020,0
28.07.2020,1
29.07.2020,1
30.07.2020,0
31.07.2020,1
01.08.2020,1
02.08.2020,0
03.08.2020,0
