Date,Cases
12.03.2020,0
13.03.2020,0
14.03.2020,0
15.03.2020,0
16.03.2020,0
17.03.2020,0
18.03.2020,0
19.03.2020,0
20.03.2020,0
21.03.2020,1
22.03.2020,0
23.03.2020,0
24.03.2020,0
25.03.2020,1
26.03.2020,3
27.03.2020,0
28.03.2020,4
29.03.2020,3
30.03.2020,2
31.03.2020,0
01.04.2020,7
02.04.2020,0
03.04.2020,2
04.04.2020,3
05.04.2020,1
06.04.2020,4
07.04.2020,1
08.04.2020,0
09.04.2020,2
10.04.2020,0
11.04.2020,6
12.04.2020,0
13.04.2020,3
14.04.2020,5
15.04.2020,3
16.04.2020,2
17.04.2020,4
18.04.2020,4
19.04.2020,7
20.04.2020,10
21.04.2020,14
22.04.2020,10
23.04.2020,9
24.04.2020,57
25.04.2020,72
26.04.2020,62
27.04.2020,58
28.04.2020,48
29.04.2020,19
30.04.2020,67
01.05.2020,44
02.05.2020,30
03.05.2020,63
04.05.2020,51
05.05.2020,86
06.05.2020,44
07.05.2020,27
08.05.2020,42
09.05.2020,70
10.05.2020,90
11.05.2020,77
12.05.2020,94
13.05.2020,51
14.05.2020,44
15.05.2020,100
16.05.2020,69
17.05.2020,98
18.05.2020,85
19.05.2020,96
20.05.2020,74
21.05.2020,84
22.05.2020,80
23.05.2020,80
24.05.2020,62
25.05.2020,45
26.05.2020,36
27.05.2020,70
28.05.2020,82
29.05.2020,141
30.05.2020,150
31.05.2020,136
01.06.2020,134
02.06.2020,113
03.06.2020,108
04.06.2020,113
05.06.2020,108
06.06.2020,128
07.06.2020,115
08.06.2020,123
09.06.2020,143
10.06.2020,135
11.06.2020,115
12.06.2020,91
13.06.2020,120
14.06.2020,141
15.06.2020,169
16.06.2020,171
17.06.2020,136
18.06.2020,167
19.06.2020,166
20.06.2020,176
21.06.2020,182
22.06.2020,176
23.06.2020,258
24.06.2020,185
25.06.2020,174
26.06.2020,160
27.06.2020,158
28.06.2020,152
29.06.2020,146
30.06.2020,144
01.07.2020,137
02.07.2020,134
03.07.2020,129
04.07.2020,128
05.07.2020,131
06.07.2020,128
07.07.2020,138
08.07.2020,135
09.07.2020,129
10.07.2020,129
11.07.2020,129
12.07.2020,119
13.07.2020,132
14.07.2020,132
15.07.2020,132
16.07.2020,125
17.07.2020,131
18.07.2020,132
19.07.2020,130
20.07.2020,134
21.07.2020,130
22.07.2020,132
23.07.2020,130
24.07.2020,121
25.07.2020,124
26.07.2020,131
27.07.2020,128
28.07.2020,124
29.07.2020,125
30.07.2020,119
31.07.2020,117
01.08.2020,110
02.08.2020,109
03.08.2020,107
